Column1,时间,发电机最大相对功角,最低节点电压,最高节点电压,最低节点频率,最高节点频率
0,0,129.18,0.8633,1.2573,50,50
1,0,129.18,0.8633,1.2573,50,50
2,0.5,129.18,0.8638,1.2575,49.6,50
3,1,129.17,0.8641,1.2576,49.4,50
4,1.5,129.16,0.8644,1.2577,49.8,50
5,2,129.15,0.8647,1.2578,49.9,50
6,2.5,129.13,0.8649,1.2579,49.9,50
7,3,129.1,0.8651,1.258,49.9,50
8,3.5,129.06,0.8652,1.2581,49.9,50
9,4,129.02,0.8653,1.2582,49.8,50
10,4.5,128.97,0.8653,1.2583,49.8,50
11,5,128.9,0.8654,1.2584,49.8,50
12,5,128.9,0.7603,1.2583,49.8,50
13,5.5,128.83,0.7577,1.2584,49.8,50
14,6,128.75,0.7552,1.2584,49.8,50
15,6.5,128.66,0.7529,1.2585,49.8,50
16,7,128.56,0.7504,1.2585,49.8,50
17,7.5,128.46,0.748,1.2586,49.8,50
18,8,128.34,0.7457,1.2586,49.8,50
19,8.5,128.21,0.7436,1.2586,49.8,50
20,9,128.08,0.7416,1.2587,49.8,50
21,9.5,127.93,0.7397,1.2587,49.8,50
22,9.5,127.93,0.7396,1.2587,49.8,50
23,10,127.78,0.7378,1.2587,49.8,50
24,10,127.78,0.6477,1.2587,49.8,50
25,10.5,127.63,0.649,1.2588,49.8,50
26,11,127.46,0.65,1.2588,49.8,50.1
27,11.5,127.29,0.6509,1.2588,49.8,50.1
28,12,127.12,0.6515,1.2588,49.8,50.1
29,12.5,126.93,0.6521,1.2588,49.8,50.1
30,13,126.75,0.6525,1.2588,49.8,50
31,13.5,126.56,0.6527,1.2588,49.8,50
32,14,126.37,0.653,1.2588,49.8,50
33,14.5,126.18,0.6531,1.2587,49.9,50
34,15,125.99,0.6533,1.2587,49.9,50
35,15.5,125.8,0.6534,1.2587,49.9,50
36,16,125.62,0.6535,1.2586,49.9,50
37,16.5,125.43,0.6536,1.2586,49.9,50
38,17,125.25,0.6537,1.2585,49.9,50
39,17.5,125.07,0.6537,1.2585,49.9,50
40,18,124.9,0.6538,1.2584,49.9,50
41,18.5,124.73,0.6538,1.2584,49.9,50
42,19,124.57,0.6538,1.2583,49.9,50
43,19.5,124.42,0.6538,1.2582,49.9,50
44,20,124.27,0.6538,1.2581,49.9,50
45,20.5,124.14,0.6538,1.258,49.9,50
46,21,124.01,0.6537,1.2579,49.9,50
47,21.5,123.89,0.6537,1.2578,49.9,50
48,22,123.78,0.6536,1.2577,49.9,50
49,22.5,123.69,0.6535,1.2576,49.9,50
50,23,123.6,0.6534,1.2575,49.8,50
51,23.5,123.53,0.6533,1.2573,49.8,50
52,24,123.47,0.6532,1.2572,49.8,50
53,24.5,123.42,0.6531,1.2571,49.8,50
54,25,123.38,0.653,1.2569,49.8,50
55,25.5,123.35,0.6529,1.2568,49.8,50
56,26,123.33,0.6528,1.2566,49.8,50
57,26.5,123.33,0.6526,1.2564,49.8,50
58,27,123.33,0.6525,1.2562,49.8,50
59,27.5,123.35,0.6524,1.256,49.8,50
60,28,123.38,0.6523,1.2558,49.8,50
61,28.5,123.41,0.6522,1.2556,49.8,50
62,29,123.46,0.6521,1.2554,49.8,50
63,29.5,123.52,0.652,1.2552,49.8,50
64,30,123.58,0.6519,1.255,49.8,50
65,30,123.58,0.7425,1.2549,49.8,50
66,30.5,123.66,0.7397,1.2547,49.8,50
67,31,123.74,0.7373,1.2544,49.7,50
68,31.5,123.83,0.735,1.2541,49.7,50
69,32,123.93,0.7326,1.2538,49.7,50
70,32.5,124.03,0.7304,1.2536,49.8,50
71,33,124.14,0.7284,1.2533,49.8,50
72,33.5,124.25,0.7266,1.253,49.8,50
73,34,124.37,0.725,1.2526,49.8,50
74,34.5,124.49,0.7235,1.2523,49.8,50
75,35,124.62,0.7221,1.252,49.8,50
76,35,124.62,0.8517,1.252,49.8,49.9
77,35.5,124.75,0.8515,1.2517,49.8,49.9
78,36,124.87,0.8513,1.2514,49.7,50
79,36.5,125,0.8511,1.2511,49.7,50
80,37,125.13,0.8509,1.2507,49.7,50
81,37.5,125.26,0.8507,1.2504,49.7,50
82,38,125.39,0.8505,1.25,49.8,50
83,38.5,125.52,0.8503,1.2497,49.8,49.9
84,39,125.64,0.8501,1.2493,49.8,49.9
85,39.5,125.76,0.8498,1.249,49.8,49.9
86,40,125.88,0.8496,1.2486,49.8,49.9
87,40.5,125.99,0.8494,1.2482,49.8,49.9
88,41,126.1,0.8492,1.2478,49.8,49.9
89,41.5,126.2,0.849,1.2474,49.8,49.9
90,42,126.3,0.8488,1.247,49.8,49.9
91,42.5,126.4,0.8486,1.2466,49.8,49.9
92,43,126.48,0.8484,1.2462,49.8,49.9
93,43.5,126.57,0.8482,1.2458,49.8,49.9
94,44,126.65,0.848,1.2454,49.8,49.9
95,44.5,126.72,0.8478,1.245,49.8,49.9
96,45,126.78,0.8477,1.2446,49.8,49.9
97,45.5,126.84,0.8475,1.2442,49.8,49.9
98,46,126.9,0.8473,1.2438,49.8,49.9
99,46.5,126.95,0.8471,1.2434,49.8,49.9
100,47,126.99,0.8469,1.243,49.8,49.9
101,47.5,127.03,0.8468,1.2425,49.8,49.9
102,48,127.07,0.8466,1.2421,49.8,49.9
103,48.5,127.1,0.8464,1.2417,49.8,49.9
104,49,127.13,0.8463,1.2413,49.8,49.9
